Date,SKU,SKU_Name,Demand,Forecast_Demand
2024-01-01,FURN-002,Bookshelf 5-Tier,9.0,13.882679793568473
2024-01-01,DIY0-002,Sandpaper Pack,10.0,13.173014303629266
2024-01-01,FURN-001,Office Chair,2.0,12.63962289889527
2024-01-01,ELEC-003,Wireless Charger,6.0,7.985528800109696
2024-01-01,DIY0-003,Adhesive Tape Pack,19.0,13.834382455823013
2024-01-01,ELEC-002,USB-C Hub 7-Port,13.0,8.379136051434918
2024-01-01,FURN-003,Bedside Table,8.0,13.461765366123569
2024-01-01,MUSC-001,Acoustic Guitar,8.0,12.94748986622964
2024-01-01,CLTH-002,Cotton T-Shirt,15.0,10.920831154150376
2024-01-01,HLTH-002,Digital Thermometer,4.0,13.067451796418858
2024-01-01,MOVI-003,Popcorn Maker,10.0,13.28935933370822
2024-01-01,MOVI-002,Streaming Voucher,14.0,14.790275753712027
2024-01-01,BOOK-001,Fiction Novel,18.0,13.008275505478675
2024-01-01,MOVI-001,Action DVD Pack,16.0,14.047216545139449
2024-01-01,JWLY-003,Pearl Bracelet,3.0,15.679826144053765
2024-01-01,JWLY-002,Gold Earrings,7.0,13.25786993085216
2024-01-01,HLTH-001,Vitamin C 60 Tablets,8.0,14.295392450347816
2024-01-01,BOOK-002,Academic Textbook,11.0,13.527924502287348
2024-01-01,HOMK-003,Cutting Board,9.0,13.87855324114162
2024-01-01,BOOK-003,Self-Help Guide,11.0,13.607847655423404
2024-01-01,HOMK-002,Knife Set 5pc,25.0,13.154977802559111
2024-01-01,HOMK-001,Non-stick Pan 28cm,6.0,12.771804429290125
2024-01-01,HLTH-003,First Aid Kit,6.0,12.93943803377689
2024-01-01,CLTH-001,Denim Jacket,6.0,10.95260915480031
2024-01-01,JWLY-001,Silver Necklace,27.0,13.73887699484742
2024-01-01,TOYS-003,Jigsaw Puzzle 500pc,29.0,13.803224024674728
2024-01-01,ELEC-001,Bluetooth Speaker,1.0,8.060788268352466
2024-01-02,OUTD-003,Hiking Socks 3-Pack,12.0,13.2157657424697
2024-01-02,GROC-001,Ground Coffee 500g,18.0,18.504301605572707
2024-01-02,MUSC-003,Digital Piano,3.0,12.599637588924091
2024-01-02,ELEC-001,Bluetooth Speaker,7.0,7.662269789644856
2024-01-02,HLTH-001,Vitamin C 60 Tablets,12.0,13.66802372300487
2024-01-02,BEAU-002,Lipstick Set,14.0,13.012713730652685
2024-01-02,HOMK-002,Knife Set 5pc,20.0,13.603700024121682
2024-01-02,OUTD-002,Sleeping Bag,9.0,13.10131629050721
2024-01-02,CLTH-003,Formal Trousers,14.0,11.548092853156474
2024-01-02,PCAR-002,Razor 5-Blade,21.0,13.95770622934628
2024-01-02,APPL-002,Microwave Oven 20L,14.0,13.914359590303494
2024-01-02,MUSC-001,Acoustic Guitar,9.0,12.552618596290229
2024-01-02,AUTO-001,Dash Cam HD,19.0,12.44830933948494
2024-01-02,SOFT-002,Office Suite,17.0,13.377219388864638
2024-01-02,BOOK-003,Self-Help Guide,28.0,13.94107586324025
2024-01-02,ELEC-003,Wireless Charger,12.0,8.10096415688907
2024-01-02,DIY0-001,Power Drill,16.0,13.035340433982414
2024-01-02,HLTH-002,Digital Thermometer,12.0,13.832610415039053
2024-01-02,MOVI-003,Popcorn Maker,12.0,13.550648642381308
2024-01-02,AUTO-002,Tyre Inflator,18.0,14.270589886765084
2024-01-02,BABY-003,Baby Wipes 80ct,21.0,14.124994485772705
2024-01-02,BABY-002,Nappy Pack 40,22.0,12.674508473228308
2024-01-02,TOYS-001,Building Blocks Set,15.0,13.133805285933684
2024-01-02,AUTO-003,Car Seat Organiser,18.0,13.447746752492728
2024-01-02,FURN-003,Bedside Table,11.0,11.982699101766476
2024-01-02,BEAU-003,Hair Serum 100ml,12.0,13.48173135228418
2024-01-02,JWLY-001,Silver Necklace,4.0,13.386155127893415
2024-01-02,DIY0-002,Sandpaper Pack,7.0,12.985702055397958
2024-01-02,PETS-002,Cat Litter 5kg,10.0,14.698570226618312
2024-01-02,SOFT-003,VPN Subscription,6.0,13.011185540463696
2024-01-02,BEAU-001,Face Moisturiser,23.0,14.899964607233828
2024-01-02,PCAR-001,Electric Toothbrush,11.0,13.950861776283286
2024-01-02,FURN-002,Bookshelf 5-Tier,9.0,14.320881786720037
2024-01-02,GROC-003,Pasta 500g,26.0,18.525826399948105
2024-01-02,OFFC-003,Desk Organiser,23.0,14.796527942841951
2024-01-02,TOOL-003,Adjustable Wrench,22.0,14.04603450801348
2024-01-02,GRDN-003,Pruning Shears,19.0,13.66497670163398
2024-01-02,TOYS-002,Remote Control Car,10.0,13.600416094167793
2024-01-02,SPRT-003,Resistance Bands,10.0,13.893704166883795
2024-01-02,APPL-003,Hand Blender,12.0,13.893342897636137
2024-01-02,BOOK-001,Fiction Novel,18.0,13.334871385285377
2024-01-02,PETS-001,Dry Dog Food 2kg,11.0,12.990130010604522
2024-01-02,OFFC-001,A4 Paper Ream,10.0,13.917129284320584
2024-01-02,PCAR-003,Shampoo 400ml,5.0,14.17221934850502
2024-01-02,MOVI-001,Action DVD Pack,23.0,14.11423767781812
2024-01-02,FURN-001,Office Chair,15.0,14.788487154555998
2024-01-02,TOOL-002,Hammer 500g,24.0,12.594341257672834
2024-01-02,HOMK-001,Non-stick Pan 28cm,5.0,13.165205052916354
2024-01-02,ELEC-002,USB-C Hub 7-Port,8.0,7.695631005492172
2024-01-02,APPL-001,Air Fryer 5L,18.0,13.84070725706825
2024-01-02,TOYS-003,Jigsaw Puzzle 500pc,23.0,14.680182429861802
2024-01-02,DIY0-003,Adhesive Tape Pack,27.0,14.479811175938018
2024-01-02,MUSC-002,DJ Headphones,9.0,13.486659151117774
2024-01-02,CLTH-001,Denim Jacket,12.0,11.4107950618286
2024-01-02,HLTH-003,First Aid Kit,17.0,13.90368670405156
2024-01-02,GRDN-002,Plant Pots Set,9.0,14.024251634201322
2024-01-02,BOOK-002,Academic Textbook,10.0,13.948638649907725
2024-01-02,SPRT-002,Dumbbell Pair 5kg,6.0,12.903417106232034
2024-01-02,SPRT-001,Yoga Mat,9.0,14.21607773293001
2024-01-02,GRDN-001,Garden Hose 20m,13.0,13.829644911373403
2024-01-02,SOFT-001,Antivirus 1-Year,12.0,13.642953282949462
2024-01-02,OFFC-002,Ballpoint Pens 10pk,14.0,13.67942462813084
2024-01-02,MOVI-002,Streaming Voucher,12.0,13.552867855722669
2024-01-02,BABY-001,Baby Monitor,8.0,13.421591669676404
2024-01-02,PETS-003,Pet Collar,32.0,14.079850956549407
2024-01-02,GROC-002,Cooking Oil 1L,10.0,18.52592175882553
2024-01-02,HOMK-003,Cutting Board,3.0,14.142975547311751
2024-01-02,JWLY-002,Gold Earrings,8.0,13.439942663286724
2024-01-02,CLTH-002,Cotton T-Shirt,9.0,10.95036093334275
2024-01-02,OUTD-001,Camping Tent 2P,14.0,14.61845494769625
2024-01-02,JWLY-003,Pearl Bracelet,10.0,14.889280345815871
2024-01-02,TOOL-001,Screwdriver Set,19.0,13.602782667105236
2024-01-03,MUSC-002,DJ Headphones,5.0,13.943846069785804
2024-01-03,SPRT-001,Yoga Mat,16.0,14.29221472374189
2024-01-03,JWLY-001,Silver Necklace,15.0,14.128620982133548
2024-01-03,TOOL-003,Adjustable Wrench,12.0,13.341592966091678
2024-01-03,TOYS-003,Jigsaw Puzzle 500pc,15.0,13.757001050420604
2024-01-03,ELEC-002,USB-C Hub 7-Port,4.0,7.669303995627791
2024-01-03,HLTH-002,Digital Thermometer,15.0,13.017073029429518
2024-01-03,MUSC-001,Acoustic Guitar,9.0,12.423809378417976
2024-01-03,PETS-003,Pet Collar,5.0,14.926158313954026
2024-01-03,JWLY-002,Gold Earrings,24.0,12.6818276932474
2024-01-03,FURN-002,Bookshelf 5-Tier,16.0,14.006704972210487
2024-01-03,DIY0-002,Sandpaper Pack,9.0,14.180154818343269
2024-01-03,DIY0-001,Power Drill,12.0,13.558979692067869
2024-01-03,CLTH-003,Formal Trousers,36.0,12.384528039154011
2024-01-03,BABY-002,Nappy Pack 40,5.0,12.849571588273328
2024-01-03,BABY-001,Baby Monitor,4.0,14.315123952606513
2024-01-03,GROC-002,Cooking Oil 1L,8.0,19.287090488234
2024-01-03,TOOL-001,Screwdriver Set,10.0,13.251864173197268
2024-01-03,OUTD-001,Camping Tent 2P,15.0,13.942534404729498
2024-01-03,BOOK-002,Academic Textbook,10.0,12.921960171330555
2024-01-03,BOOK-001,Fiction Novel,14.0,14.156644622710658
2024-01-03,MOVI-002,Streaming Voucher,27.0,14.772867628670443
2024-01-03,PETS-001,Dry Dog Food 2kg,15.0,14.057170978649332
2024-01-03,MOVI-001,Action DVD Pack,8.0,13.8190870649284
2024-01-03,GRDN-002,Plant Pots Set,11.0,13.424278893128136
2024-01-03,DIY0-003,Adhesive Tape Pack,8.0,14.472906522051376
2024-01-03,APPL-001,Air Fryer 5L,15.0,13.717868909418405
2024-01-03,CLTH-001,Denim Jacket,11.0,11.553911722202352
2024-01-03,HLTH-003,First Aid Kit,12.0,12.933860187340768
2024-01-03,FURN-001,Office Chair,21.0,13.843726843584934
2024-01-03,APPL-003,Hand Blender,12.0,13.045310721239789
2024-01-03,SPRT-003,Resistance Bands,20.0,13.694181267516877
2024-01-03,MOVI-003,Popcorn Maker,26.0,13.52602507880913
2024-01-03,TOYS-001,Building Blocks Set,12.0,14.993390940240054
2024-01-03,BEAU-003,Hair Serum 100ml,19.0,13.25501122444711
2024-01-03,BEAU-001,Face Moisturiser,19.0,14.861865373643736
2024-01-03,TOYS-002,Remote Control Car,22.0,14.543560639808032
2024-01-03,GROC-003,Pasta 500g,14.0,19.357980712355385
2024-01-03,OUTD-003,Hiking Socks 3-Pack,8.0,12.903946307977815
2024-01-03,OFFC-003,Desk Organiser,5.0,14.42590082623614
2024-01-03,PETS-002,Cat Litter 5kg,11.0,13.956136945140996
2024-01-03,GROC-001,Ground Coffee 500g,21.0,18.557594230120955
2024-01-03,OUTD-002,Sleeping Bag,4.0,13.276759096972915
2024-01-03,HOMK-002,Knife Set 5pc,6.0,12.985053471376444
2024-01-03,PCAR-002,Razor 5-Blade,16.0,14.138720360962829
2024-01-03,APPL-002,Microwave Oven 20L,8.0,14.56313756362082
2024-01-03,AUTO-001,Dash Cam HD,12.0,12.26760537288929
2024-01-03,TOOL-002,Hammer 500g,13.0,12.967660497075991
2024-01-03,SPRT-002,Dumbbell Pair 5kg,15.0,13.381921481928728
2024-01-03,AUTO-002,Tyre Inflator,4.0,13.148585454154553
2024-01-03,ELEC-003,Wireless Charger,10.0,7.789665969430525
2024-01-03,OFFC-002,Ballpoint Pens 10pk,13.0,13.63338902625584
2024-01-03,SOFT-003,VPN Subscription,16.0,13.69688140671136
2024-01-03,HOMK-003,Cutting Board,18.0,13.924994525986518
2024-01-03,PCAR-001,Electric Toothbrush,16.0,15.293008046559896
2024-01-03,AUTO-003,Car Seat Organiser,16.0,13.61972144136281
2024-01-03,ELEC-001,Bluetooth Speaker,12.0,8.121186445991047
2024-01-03,FURN-003,Bedside Table,9.0,13.371269899018657
2024-01-03,BOOK-003,Self-Help Guide,18.0,13.626852228863276
2024-01-03,SOFT-002,Office Suite,31.0,13.415333053325693
2024-01-03,BABY-003,Baby Wipes 80ct,20.0,13.497943058103605
2024-01-03,HOMK-001,Non-stick Pan 28cm,13.0,12.434735920879
2024-01-03,GRDN-001,Garden Hose 20m,11.0,14.72458597800314
2024-01-03,SOFT-001,Antivirus 1-Year,5.0,12.345548799472564
2024-01-03,HLTH-001,Vitamin C 60 Tablets,5.0,13.611841264858452
2024-01-03,PCAR-003,Shampoo 400ml,12.0,14.334166509628734
2024-01-03,CLTH-002,Cotton T-Shirt,18.0,11.284762554370552
2024-01-03,GRDN-003,Pruning Shears,10.0,13.370452050389252
2024-01-03,JWLY-003,Pearl Bracelet,2.0,14.755911955431277
2024-01-03,MUSC-003,Digital Piano,6.0,13.03255186855454
2024-01-03,BEAU-002,Lipstick Set,8.0,13.352987729963072
2024-01-03,OFFC-001,A4 Paper Ream,5.0,13.326956859828426
2024-01-04,GROC-002,Cooking Oil 1L,10.0,19.664569193425265
2024-01-04,TOOL-001,Screwdriver Set,17.0,14.593783211998442
2024-01-04,JWLY-003,Pearl Bracelet,11.0,15.53607778541182
2024-01-04,ELEC-003,Wireless Charger,10.0,7.940112526931013
2024-01-04,SPRT-002,Dumbbell Pair 5kg,18.0,12.744775041370469
2024-01-04,PETS-002,Cat Litter 5kg,14.0,14.52534792213659
2024-01-04,PCAR-002,Razor 5-Blade,9.0,13.843780617082135
2024-01-04,GRDN-003,Pruning Shears,12.0,13.392008241093128
2024-01-04,OUTD-001,Camping Tent 2P,10.0,14.010318903040922
2024-01-04,JWLY-001,Silver Necklace,16.0,14.16467854999945
2024-01-04,BOOK-002,Academic Textbook,7.0,14.207530789313836
2024-01-04,FURN-002,Bookshelf 5-Tier,6.0,13.722147839917254
2024-01-04,OFFC-001,A4 Paper Ream,8.0,14.314099046437484
2024-01-04,BOOK-001,Fiction Novel,18.0,14.39154922493024
2024-01-04,APPL-001,Air Fryer 5L,30.0,13.185968392328768
2024-01-04,MUSC-003,Digital Piano,8.0,12.52127564178188
2024-01-04,HLTH-002,Digital Thermometer,15.0,13.394351621369983
2024-01-04,CLTH-002,Cotton T-Shirt,11.0,10.689049763425508
2024-01-04,BABY-002,Nappy Pack 40,17.0,12.815747910957931
2024-01-04,SOFT-001,Antivirus 1-Year,8.0,12.390766245889816
2024-01-04,BABY-001,Baby Monitor,14.0,13.719705207838096
2024-01-04,HOMK-002,Knife Set 5pc,12.0,13.023029105410114
2024-01-04,AUTO-001,Dash Cam HD,8.0,13.80197897260376
2024-01-04,BEAU-002,Lipstick Set,14.0,12.847440443754522
2024-01-04,GROC-001,Ground Coffee 500g,9.0,18.00622803131538
2024-01-04,APPL-002,Microwave Oven 20L,9.0,14.04033049561694
2024-01-04,OFFC-003,Desk Organiser,13.0,13.9974121265769
2024-01-04,BABY-003,Baby Wipes 80ct,3.0,13.060241578903431
2024-01-04,CLTH-003,Formal Trousers,7.0,11.083961559316789
2024-01-04,OUTD-002,Sleeping Bag,4.0,12.713014478219003
2024-01-04,TOOL-002,Hammer 500g,12.0,12.558243551176696
2024-01-04,SOFT-002,Office Suite,10.0,13.760905298082529
2024-01-04,AUTO-003,Car Seat Organiser,17.0,13.60739498082328
2024-01-04,MOVI-003,Popcorn Maker,8.0,13.604161266794224
2024-01-04,PCAR-001,Electric Toothbrush,10.0,14.17239076767256
2024-01-04,GROC-003,Pasta 500g,14.0,17.939407251455233
2024-01-04,SPRT-003,Resistance Bands,20.0,14.449090069178151
2024-01-04,TOYS-002,Remote Control Car,16.0,13.719400934105026
2024-01-04,APPL-003,Hand Blender,2.0,13.309003345204808
2024-01-04,MOVI-002,Streaming Voucher,15.0,13.962969057207744
2024-01-04,BEAU-003,Hair Serum 100ml,12.0,15.0202309032894
2024-01-04,FURN-003,Bedside Table,7.0,13.92418883835893
2024-01-04,BEAU-001,Face Moisturiser,12.0,14.145635130082962
2024-01-04,TOYS-001,Building Blocks Set,17.0,13.602364046865096
2024-01-04,OUTD-003,Hiking Socks 3-Pack,18.0,13.231844182739753
2024-01-04,GRDN-001,Garden Hose 20m,17.0,14.090761827945856
2024-01-04,HLTH-001,Vitamin C 60 Tablets,9.0,14.067665887396355
2024-01-04,DIY0-002,Sandpaper Pack,5.0,14.265438297536791
2024-01-04,MUSC-001,Acoustic Guitar,12.0,13.392592352876228
2024-01-04,SPRT-001,Yoga Mat,23.0,13.952147301246448
2024-01-04,HOMK-003,Cutting Board,6.0,14.59518048838398
2024-01-04,PETS-003,Pet Collar,5.0,13.375579475342477
2024-01-04,MOVI-001,Action DVD Pack,2.0,13.254606931383726
2024-01-04,AUTO-002,Tyre Inflator,27.0,13.889944091504564
2024-01-04,HLTH-003,First Aid Kit,8.0,13.888837147808122
2024-01-04,ELEC-002,USB-C Hub 7-Port,14.0,8.129163610958182
2024-01-04,PCAR-003,Shampoo 400ml,10.0,13.989181087672538
2024-01-04,HOMK-001,Non-stick Pan 28cm,10.0,12.970461749451273
2024-01-04,OFFC-002,Ballpoint Pens 10pk,23.0,13.07210564024786
2024-01-04,JWLY-002,Gold Earrings,5.0,13.127229428340764
2024-01-04,TOYS-003,Jigsaw Puzzle 500pc,14.0,14.417934938629577
2024-01-04,SOFT-003,VPN Subscription,17.0,14.20653491535654
2024-01-04,DIY0-003,Adhesive Tape Pack,14.0,14.13288840753384
2024-01-04,ELEC-001,Bluetooth Speaker,5.0,8.2458711389182
2024-01-04,MUSC-002,DJ Headphones,11.0,14.2822266369872
2024-01-04,BOOK-003,Self-Help Guide,15.0,13.754001921327957
2024-01-04,TOOL-003,Adjustable Wrench,13.0,13.562097778396032
2024-01-04,GRDN-002,Plant Pots Set,21.0,12.89065124178144
2024-01-04,FURN-001,Office Chair,10.0,14.61503493780632
2024-01-04,CLTH-001,Denim Jacket,14.0,11.379074354384816
2024-01-04,DIY0-001,Power Drill,10.0,13.604667371917788
2024-01-04,PETS-001,Dry Dog Food 2kg,12.0,13.438126437213326
2024-01-05,JWLY-001,Silver Necklace,11.0,14.298932009279916
2024-01-05,SPRT-003,Resistance Bands,16.0,14.218795740929858
2024-01-05,OFFC-003,Desk Organiser,18.0,12.690552357918572
2024-01-05,DIY0-003,Adhesive Tape Pack,20.0,13.465408039471091
2024-01-05,JWLY-002,Gold Earrings,3.0,13.59864151129965
2024-01-05,TOYS-002,Remote Control Car,7.0,14.931262189853555
2024-01-05,PETS-001,Dry Dog Food 2kg,4.0,14.352035839010895
2024-01-05,MOVI-001,Action DVD Pack,3.0,13.774454012668905
2024-01-05,APPL-003,Hand Blender,10.0,13.485139617238426
2024-01-05,FURN-003,Bedside Table,10.0,12.449823699099928
2024-01-05,BEAU-002,Lipstick Set,16.0,13.228550345684724
2024-01-05,MOVI-002,Streaming Voucher,10.0,13.482959888124787
2024-01-05,TOYS-003,Jigsaw Puzzle 500pc,19.0,14.082068351155115
2024-01-05,BEAU-003,Hair Serum 100ml,15.0,12.89687265072188
2024-01-05,GROC-003,Pasta 500g,5.0,18.06809001739744
2024-01-05,HLTH-001,Vitamin C 60 Tablets,12.0,14.289674065569756
2024-01-05,ELEC-001,Bluetooth Speaker,8.0,8.141695010537589
2024-01-05,PCAR-003,Shampoo 400ml,11.0,13.220767920866887
2024-01-05,CLTH-001,Denim Jacket,11.0,10.636692808618092
2024-01-05,TOOL-003,Adjustable Wrench,5.0,14.014345351396935
2024-01-05,OUTD-002,Sleeping Bag,21.0,13.830893468537164
2024-01-05,MUSC-001,Acoustic Guitar,11.0,12.44756641319839
2024-01-05,JWLY-003,Pearl Bracelet,21.0,14.699472619864212
2024-01-05,BOOK-001,Fiction Novel,11.0,14.625116413426202
2024-01-05,PETS-002,Cat Litter 5kg,25.0,14.381137859347676
2024-01-05,BOOK-003,Self-Help Guide,5.0,14.301928546984882
2024-01-05,APPL-002,Microwave Oven 20L,9.0,13.560679078347626
2024-01-05,MOVI-003,Popcorn Maker,15.0,13.2617934768815
2024-01-05,MUSC-002,DJ Headphones,11.0,14.01299900957924
2024-01-05,SOFT-003,VPN Subscription,8.0,13.678474622919785
2024-01-05,GRDN-001,Garden Hose 20m,5.0,14.782804771225504
2024-01-05,PCAR-002,Razor 5-Blade,14.0,13.80650000819978
2024-01-05,PCAR-001,Electric Toothbrush,25.0,14.960086842195269
2024-01-05,OFFC-001,A4 Paper Ream,5.0,13.650967433778272
2024-01-05,OUTD-001,Camping Tent 2P,15.0,13.750805142907511
2024-01-05,GRDN-002,Plant Pots Set,6.0,12.755732472342912
2024-01-05,BEAU-001,Face Moisturiser,11.0,14.05908806434466
2024-01-05,AUTO-001,Dash Cam HD,11.0,12.4378042270846
2024-01-05,BOOK-002,Academic Textbook,9.0,13.517060388412736
2024-01-05,SPRT-002,Dumbbell Pair 5kg,19.0,13.621922153971184
2024-01-05,HOMK-001,Non-stick Pan 28cm,17.0,12.74258856492226
2024-01-05,HOMK-003,Cutting Board,11.0,13.690986751765283
2024-01-05,TOOL-001,Screwdriver Set,13.0,14.24908386472574
2024-01-05,ELEC-003,Wireless Charger,3.0,8.094996600664063
2024-01-05,FURN-001,Office Chair,25.0,14.106185281946315
2024-01-05,HLTH-003,First Aid Kit,24.0,13.159678769119116
2024-01-05,GROC-002,Cooking Oil 1L,26.0,18.945805909729312
2024-01-05,SPRT-001,Yoga Mat,16.0,14.461740728276176
2024-01-05,DIY0-002,Sandpaper Pack,10.0,12.748548553776995
2024-01-05,APPL-001,Air Fryer 5L,13.0,13.725452762074204
2024-01-05,HOMK-002,Knife Set 5pc,25.0,13.447124512679348
2024-01-05,CLTH-002,Cotton T-Shirt,7.0,10.776561107426485
2024-01-05,GRDN-003,Pruning Shears,13.0,14.161073050003488
2024-01-05,TOOL-002,Hammer 500g,12.0,14.03111348953625
2024-01-05,FURN-002,Bookshelf 5-Tier,6.0,14.11648566815179
2024-01-05,AUTO-002,Tyre Inflator,18.0,14.208951556431838
2024-01-05,HLTH-002,Digital Thermometer,15.0,12.474870437152232
2024-01-05,DIY0-001,Power Drill,9.0,13.335647788340594
2024-01-05,GROC-001,Ground Coffee 500g,11.0,18.088664008665614
2024-01-05,SOFT-002,Office Suite,5.0,12.645503315370128
2024-01-05,SOFT-001,Antivirus 1-Year,14.0,12.913776717060152
2024-01-05,TOYS-001,Building Blocks Set,23.0,14.07432540132087
2024-01-05,PETS-003,Pet Collar,26.0,14.32592757392766
2024-01-05,BABY-002,Nappy Pack 40,19.0,13.705172310055053
2024-01-05,OFFC-002,Ballpoint Pens 10pk,9.0,13.006362665857976
2024-01-05,CLTH-003,Formal Trousers,10.0,11.371015355295867
2024-01-05,BABY-003,Baby Wipes 80ct,33.0,13.61012316487192
2024-01-05,BABY-001,Baby Monitor,12.0,13.002831118662687
2024-01-05,ELEC-002,USB-C Hub 7-Port,8.0,8.24680069639612
2024-01-05,AUTO-003,Car Seat Organiser,21.0,13.281036614418458
2024-01-05,MUSC-003,Digital Piano,14.0,13.150428348876224
2024-01-05,OUTD-003,Hiking Socks 3-Pack,6.0,12.888160479647318
2024-01-06,SOFT-002,Office Suite,15.0,13.097455642319924
2024-01-06,BOOK-003,Self-Help Guide,21.0,14.378814392831591
2024-01-06,PCAR-002,Razor 5-Blade,16.0,13.501273604145918
2024-01-06,GRDN-002,Plant Pots Set,5.0,13.59153803076699
2024-01-06,CLTH-001,Denim Jacket,10.0,11.56204053427369
2024-01-06,BOOK-001,Fiction Novel,10.0,13.599225030865927
2024-01-06,OFFC-001,A4 Paper Ream,8.0,13.670158708717024
2024-01-06,FURN-001,Office Chair,9.0,13.326733084670549
2024-01-06,CLTH-002,Cotton T-Shirt,7.0,10.998738306408027
2024-01-06,BOOK-002,Academic Textbook,6.0,14.326359982653386
2024-01-06,OUTD-001,Camping Tent 2P,8.0,13.83727411416164
2024-01-06,TOOL-001,Screwdriver Set,17.0,13.137854121081068
2024-01-06,HOMK-001,Non-stick Pan 28cm,15.0,11.65891434268828
2024-01-06,BABY-001,Baby Monitor,27.0,13.79849569842612
2024-01-06,APPL-002,Microwave Oven 20L,22.0,13.359891527479515
2024-01-06,GROC-002,Cooking Oil 1L,28.0,19.294192785680156
2024-01-06,PETS-001,Dry Dog Food 2kg,9.0,13.439557107696922
2024-01-06,ELEC-001,Bluetooth Speaker,7.0,8.470322194803188
2024-01-06,MOVI-002,Streaming Voucher,10.0,13.743426853906168
2024-01-06,APPL-003,Hand Blender,11.0,13.641992763372327
2024-01-06,DIY0-003,Adhesive Tape Pack,9.0,13.286042518591936
2024-01-06,SPRT-003,Resistance Bands,26.0,14.459657326365974
2024-01-06,GRDN-001,Garden Hose 20m,4.0,14.090370628789596
2024-01-06,MOVI-003,Popcorn Maker,19.0,12.919432092747131
2024-01-06,MOVI-001,Action DVD Pack,21.0,14.024910061895527
2024-01-06,SOFT-001,Antivirus 1-Year,18.0,13.8806358840568
2024-01-06,AUTO-001,Dash Cam HD,8.0,13.225799505216248
2024-01-06,AUTO-002,Tyre Inflator,11.0,14.210689045082312
2024-01-06,TOOL-002,Hammer 500g,10.0,12.936807786078068
2024-01-06,OFFC-002,Ballpoint Pens 10pk,24.0,13.604532154592713
2024-01-06,FURN-003,Bedside Table,24.0,13.23830409608748
2024-01-06,TOYS-002,Remote Control Car,21.0,14.643111136256124
2024-01-06,PETS-003,Pet Collar,8.0,13.091097728338529
2024-01-06,BEAU-003,Hair Serum 100ml,14.0,14.379658839641689
