Date,SKU,SKU_Name,Demand
2024-01-03,SPRT-002,Dumbbell Pair 5kg,21.0
2024-01-03,AUTO-002,Tyre Inflator,6.0
2024-01-03,ELEC-003,Wireless Charger,10.0
2024-01-03,OFFC-002,Ballpoint Pens 10pk,20.0
2024-01-03,SOFT-003,VPN Subscription,18.0
2024-01-03,HOMK-003,Cutting Board,12.0
2024-01-03,PCAR-001,Electric Toothbrush,11.0
2024-01-03,AUTO-003,Car Seat Organiser,11.0
2024-01-03,ELEC-001,Bluetooth Speaker,13.0
2024-01-03,FURN-003,Bedside Table,10.0
2024-01-03,BOOK-003,Self-Help Guide,14.0
2024-01-03,SOFT-002,Office Suite,23.0
2024-01-03,BABY-003,Baby Wipes 80ct,29.0
2024-01-03,HOMK-001,Non-stick Pan 28cm,12.0
2024-01-03,GRDN-001,Garden Hose 20m,17.0
2024-01-03,SOFT-001,Antivirus 1-Year,12.0
2024-01-03,HLTH-001,Vitamin C 60 Tablets,4.0
2024-01-03,PCAR-003,Shampoo 400ml,13.0
2024-01-03,CLTH-002,Cotton T-Shirt,20.0
2024-01-03,GRDN-003,Pruning Shears,9.0
2024-01-03,JWLY-003,Pearl Bracelet,6.0
2024-01-03,MUSC-003,Digital Piano,2.0
2024-01-03,BEAU-002,Lipstick Set,6.0
2024-01-03,OFFC-001,A4 Paper Ream,3.0
2024-01-04,GROC-002,Cooking Oil 1L,6.0
2024-01-04,TOOL-001,Screwdriver Set,14.0
2024-01-04,JWLY-003,Pearl Bracelet,11.0
2024-01-04,ELEC-003,Wireless Charger,10.0
2024-01-04,SPRT-002,Dumbbell Pair 5kg,28.0
2024-01-04,PETS-002,Cat Litter 5kg,12.0
2024-01-04,PCAR-002,Razor 5-Blade,11.0
2024-01-04,GRDN-003,Pruning Shears,16.0
2024-01-04,OUTD-001,Camping Tent 2P,8.0
2024-01-04,JWLY-001,Silver Necklace,13.0
2024-01-04,BOOK-002,Academic Textbook,8.0
2024-01-04,FURN-002,Bookshelf 5-Tier,11.0
2024-01-04,OFFC-001,A4 Paper Ream,11.0
2024-01-04,BOOK-001,Fiction Novel,11.0
2024-01-04,APPL-001,Air Fryer 5L,28.0
2024-01-04,MUSC-003,Digital Piano,11.0
2024-01-04,HLTH-002,Digital Thermometer,17.0
2024-01-04,CLTH-002,Cotton T-Shirt,8.0
2024-01-04,BABY-002,Nappy Pack 40,16.0
2024-01-04,SOFT-001,Antivirus 1-Year,10.0
2024-01-04,BABY-001,Baby Monitor,9.0
2024-01-04,HOMK-002,Knife Set 5pc,18.0
2024-01-04,AUTO-001,Dash Cam HD,10.0
2024-01-04,BEAU-002,Lipstick Set,16.0
2024-01-04,GROC-001,Ground Coffee 500g,10.0
2024-01-04,APPL-002,Microwave Oven 20L,8.0
2024-01-04,OFFC-003,Desk Organiser,11.0
2024-01-04,BABY-003,Baby Wipes 80ct,2.0
2024-01-04,CLTH-003,Formal Trousers,8.0
2024-01-04,OUTD-002,Sleeping Bag,6.0
2024-01-04,TOOL-002,Hammer 500g,15.0
2024-01-04,SOFT-002,Office Suite,7.0
2024-01-04,AUTO-003,Car Seat Organiser,21.0
2024-01-04,MOVI-003,Popcorn Maker,6.0
2024-01-04,PCAR-001,Electric Toothbrush,9.0
2024-01-04,GROC-003,Pasta 500g,13.0
2024-01-04,SPRT-003,Resistance Bands,22.0
2024-01-04,TOYS-002,Remote Control Car,22.0
2024-01-04,APPL-003,Hand Blender,4.0
2024-01-04,MOVI-002,Streaming Voucher,16.0
2024-01-04,BEAU-003,Hair Serum 100ml,13.0
2024-01-04,FURN-003,Bedside Table,6.0
2024-01-04,BEAU-001,Face Moisturiser,19.0
2024-01-04,TOYS-001,Building Blocks Set,16.0
2024-01-04,OUTD-003,Hiking Socks 3-Pack,14.0
2024-01-04,GRDN-001,Garden Hose 20m,18.0
2024-01-04,HLTH-001,Vitamin C 60 Tablets,8.0
2024-01-04,DIY0-002,Sandpaper Pack,9.0
2024-01-04,MUSC-001,Acoustic Guitar,7.0
2024-01-04,SPRT-001,Yoga Mat,20.0
2024-01-04,HOMK-003,Cutting Board,8.0
2024-01-04,PETS-003,Pet Collar,5.0
2024-01-04,MOVI-001,Action DVD Pack,2.0
2024-01-04,AUTO-002,Tyre Inflator,27.0
2024-01-04,HLTH-003,First Aid Kit,10.0
2024-01-04,ELEC-002,USB-C Hub 7-Port,10.0
2024-01-04,PCAR-003,Shampoo 400ml,14.0
2024-01-04,HOMK-001,Non-stick Pan 28cm,15.0
2024-01-04,OFFC-002,Ballpoint Pens 10pk,30.0
2024-01-04,JWLY-002,Gold Earrings,3.0
2024-01-04,TOYS-003,Jigsaw Puzzle 500pc,11.0
2024-01-04,SOFT-003,VPN Subscription,11.0
2024-01-04,DIY0-003,Adhesive Tape Pack,17.0
2024-01-04,ELEC-001,Bluetooth Speaker,7.0
2024-01-04,MUSC-002,DJ Headphones,9.0
2024-01-04,BOOK-003,Self-Help Guide,15.0
2024-01-04,TOOL-003,Adjustable Wrench,16.0
2024-01-04,GRDN-002,Plant Pots Set,20.0
2024-01-04,FURN-001,Office Chair,6.0
2024-01-04,CLTH-001,Denim Jacket,13.0
2024-01-04,DIY0-001,Power Drill,6.0
2024-01-04,PETS-001,Dry Dog Food 2kg,13.0
2024-01-05,JWLY-001,Silver Necklace,10.0
2024-01-05,SPRT-003,Resistance Bands,12.0
2024-01-05,OFFC-003,Desk Organiser,23.0
2024-01-05,DIY0-003,Adhesive Tape Pack,22.0
2024-01-05,JWLY-002,Gold Earrings,4.0
2024-01-05,TOYS-002,Remote Control Car,7.0
2024-01-05,PETS-001,Dry Dog Food 2kg,2.0
2024-01-05,MOVI-001,Action DVD Pack,4.0
2024-01-05,APPL-003,Hand Blender,9.0
2024-01-05,FURN-003,Bedside Table,14.0
2024-01-05,BEAU-002,Lipstick Set,17.0
2024-01-05,MOVI-002,Streaming Voucher,17.0
2024-01-05,TOYS-003,Jigsaw Puzzle 500pc,19.0
2024-01-05,BEAU-003,Hair Serum 100ml,13.0
2024-01-05,GROC-003,Pasta 500g,4.0
2024-01-05,HLTH-001,Vitamin C 60 Tablets,11.0
2024-01-05,ELEC-001,Bluetooth Speaker,8.0
2024-01-05,PCAR-003,Shampoo 400ml,12.0
2024-01-05,CLTH-001,Denim Jacket,12.0
2024-01-05,TOOL-003,Adjustable Wrench,4.0
2024-01-05,OUTD-002,Sleeping Bag,21.0
2024-01-05,MUSC-001,Acoustic Guitar,11.0
2024-01-05,JWLY-003,Pearl Bracelet,17.0
2024-01-05,BOOK-001,Fiction Novel,11.0
2024-01-05,PETS-002,Cat Litter 5kg,30.0
2024-01-05,BOOK-003,Self-Help Guide,5.0
2024-01-05,APPL-002,Microwave Oven 20L,12.0
2024-01-05,MOVI-003,Popcorn Maker,13.0
2024-01-05,MUSC-002,DJ Headphones,13.0
2024-01-05,SOFT-003,VPN Subscription,9.0
2024-01-05,GRDN-001,Garden Hose 20m,6.0
2024-01-05,PCAR-002,Razor 5-Blade,12.0
2024-01-05,PCAR-001,Electric Toothbrush,14.0
2024-01-05,OFFC-001,A4 Paper Ream,4.0
2024-01-05,OUTD-001,Camping Tent 2P,19.0
2024-01-05,GRDN-002,Plant Pots Set,10.0
2024-01-05,BEAU-001,Face Moisturiser,17.0
2024-01-05,AUTO-001,Dash Cam HD,10.0
2024-01-05,BOOK-002,Academic Textbook,11.0
2024-01-05,SPRT-002,Dumbbell Pair 5kg,15.0
2024-01-05,HOMK-001,Non-stick Pan 28cm,15.0
2024-01-05,HOMK-003,Cutting Board,15.0
2024-01-05,TOOL-001,Screwdriver Set,11.0
2024-01-05,ELEC-003,Wireless Charger,4.0
2024-01-05,FURN-001,Office Chair,41.0
2024-01-05,HLTH-003,First Aid Kit,27.0
2024-01-05,GROC-002,Cooking Oil 1L,21.0
2024-01-05,SPRT-001,Yoga Mat,23.0
2024-01-05,DIY0-002,Sandpaper Pack,9.0
2024-01-05,APPL-001,Air Fryer 5L,11.0
2024-01-05,HOMK-002,Knife Set 5pc,26.0
2024-01-05,CLTH-002,Cotton T-Shirt,8.0
2024-01-05,GRDN-003,Pruning Shears,19.0
2024-01-05,TOOL-002,Hammer 500g,13.0
2024-01-05,FURN-002,Bookshelf 5-Tier,6.0
2024-01-05,AUTO-002,Tyre Inflator,10.0
2024-01-05,HLTH-002,Digital Thermometer,20.0
2024-01-05,DIY0-001,Power Drill,13.0
2024-01-05,GROC-001,Ground Coffee 500g,16.0
2024-01-05,SOFT-002,Office Suite,11.0
2024-01-05,SOFT-001,Antivirus 1-Year,12.0
2024-01-05,TOYS-001,Building Blocks Set,19.0
2024-01-05,PETS-003,Pet Collar,23.0
2024-01-05,BABY-002,Nappy Pack 40,18.0
2024-01-05,OFFC-002,Ballpoint Pens 10pk,12.0
2024-01-05,CLTH-003,Formal Trousers,9.0
2024-01-05,BABY-003,Baby Wipes 80ct,24.0
2024-01-05,BABY-001,Baby Monitor,18.0
2024-01-05,ELEC-002,USB-C Hub 7-Port,8.0
2024-01-05,AUTO-003,Car Seat Organiser,18.0
2024-01-05,MUSC-003,Digital Piano,15.0
2024-01-05,OUTD-003,Hiking Socks 3-Pack,8.0
2024-01-06,SOFT-002,Office Suite,15.0
2024-01-06,BOOK-003,Self-Help Guide,33.0
2024-01-06,PCAR-002,Razor 5-Blade,14.0
2024-01-06,GRDN-002,Plant Pots Set,9.0
2024-01-06,CLTH-001,Denim Jacket,9.0
2024-01-06,BOOK-001,Fiction Novel,14.0
2024-01-06,OFFC-001,A4 Paper Ream,6.0
2024-01-06,FURN-001,Office Chair,9.0
2024-01-06,CLTH-002,Cotton T-Shirt,4.0
2024-01-06,BOOK-002,Academic Textbook,9.0
2024-01-06,OUTD-001,Camping Tent 2P,5.0
2024-01-06,TOOL-001,Screwdriver Set,16.0
2024-01-06,HOMK-001,Non-stick Pan 28cm,15.0
2024-01-06,BABY-001,Baby Monitor,22.0
2024-01-06,APPL-002,Microwave Oven 20L,18.0
2024-01-06,GROC-002,Cooking Oil 1L,23.0
2024-01-06,PETS-001,Dry Dog Food 2kg,10.0
2024-01-06,ELEC-001,Bluetooth Speaker,7.0
2024-01-06,MOVI-002,Streaming Voucher,15.0
2024-01-06,APPL-003,Hand Blender,9.0
2024-01-06,DIY0-003,Adhesive Tape Pack,14.0
2024-01-06,SPRT-003,Resistance Bands,28.0
2024-01-06,GRDN-001,Garden Hose 20m,5.0
2024-01-06,MOVI-003,Popcorn Maker,19.0
2024-01-06,MOVI-001,Action DVD Pack,19.0
2024-01-06,SOFT-001,Antivirus 1-Year,17.0
2024-01-06,AUTO-001,Dash Cam HD,11.0
2024-01-06,AUTO-002,Tyre Inflator,15.0
2024-01-06,TOOL-002,Hammer 500g,8.0
2024-01-06,OFFC-002,Ballpoint Pens 10pk,26.0
2024-01-06,FURN-003,Bedside Table,24.0
2024-01-06,TOYS-002,Remote Control Car,24.0
2024-01-06,PETS-003,Pet Collar,8.0
2024-01-06,BEAU-003,Hair Serum 100ml,19.0
2024-01-06,BEAU-001,Face Moisturiser,4.0
2024-01-06,HOMK-003,Cutting Board,13.0
2024-01-06,SPRT-001,Yoga Mat,12.0
2024-01-06,GRDN-003,Pruning Shears,24.0
2024-01-06,TOYS-001,Building Blocks Set,14.0
2024-01-06,OUTD-003,Hiking Socks 3-Pack,17.0
2024-01-06,BABY-002,Nappy Pack 40,14.0
2024-01-06,DIY0-001,Power Drill,8.0
2024-01-06,ELEC-003,Wireless Charger,7.0
2024-01-06,SPRT-002,Dumbbell Pair 5kg,5.0
2024-01-06,AUTO-003,Car Seat Organiser,29.0
2024-01-06,HLTH-001,Vitamin C 60 Tablets,7.0
2024-01-06,HLTH-003,First Aid Kit,7.0
2024-01-06,MUSC-001,Acoustic Guitar,6.0
2024-01-06,DIY0-002,Sandpaper Pack,8.0
2024-01-06,JWLY-001,Silver Necklace,26.0
2024-01-06,JWLY-003,Pearl Bracelet,10.0
2024-01-06,FURN-002,Bookshelf 5-Tier,15.0
2024-01-06,MUSC-003,Digital Piano,18.0
2024-01-06,APPL-001,Air Fryer 5L,10.0
2024-01-06,GROC-003,Pasta 500g,5.0
2024-01-06,PCAR-001,Electric Toothbrush,15.0
2024-01-06,ELEC-002,USB-C Hub 7-Port,3.0
2024-01-06,TOYS-003,Jigsaw Puzzle 500pc,19.0
2024-01-06,SOFT-003,VPN Subscription,10.0
2024-01-06,BABY-003,Baby Wipes 80ct,4.0
2024-01-06,HOMK-002,Knife Set 5pc,9.0
2024-01-06,TOOL-003,Adjustable Wrench,6.0
2024-01-06,OFFC-003,Desk Organiser,3.0
2024-01-06,GROC-001,Ground Coffee 500g,29.0
2024-01-06,BEAU-002,Lipstick Set,3.0
2024-01-06,MUSC-002,DJ Headphones,4.0
2024-01-06,CLTH-003,Formal Trousers,8.0
2024-01-06,PCAR-003,Shampoo 400ml,16.0
2024-01-06,PETS-002,Cat Litter 5kg,12.0
2024-01-06,HLTH-002,Digital Thermometer,17.0
2024-01-06,OUTD-002,Sleeping Bag,13.0
2024-01-06,JWLY-002,Gold Earrings,0.0
2024-01-07,GROC-003,Pasta 500g,10.0
2024-01-07,BOOK-003,Self-Help Guide,6.0
2024-01-07,OUTD-001,Camping Tent 2P,15.0
2024-01-07,APPL-001,Air Fryer 5L,14.0
2024-01-07,PCAR-003,Shampoo 400ml,12.0
2024-01-07,DIY0-003,Adhesive Tape Pack,21.0
2024-01-07,SOFT-003,VPN Subscription,10.0
2024-01-07,TOYS-003,Jigsaw Puzzle 500pc,9.0
2024-01-07,FURN-002,Bookshelf 5-Tier,17.0
2024-01-07,TOOL-003,Adjustable Wrench,9.0
2024-01-07,PETS-003,Pet Collar,11.0
2024-01-07,MUSC-001,Acoustic Guitar,16.0
2024-01-07,BOOK-001,Fiction Novel,14.0
2024-01-07,MUSC-002,DJ Headphones,14.0
2024-01-07,ELEC-001,Bluetooth Speaker,8.0
2024-01-07,CLTH-002,Cotton T-Shirt,12.0
2024-01-07,HLTH-001,Vitamin C 60 Tablets,6.0
2024-01-07,CLTH-001,Denim Jacket,12.0
2024-01-07,FURN-001,Office Chair,13.0
2024-01-07,OFFC-002,Ballpoint Pens 10pk,14.0
2024-01-07,DIY0-001,Power Drill,13.0
2024-01-07,GRDN-003,Pruning Shears,26.0
2024-01-07,GROC-002,Cooking Oil 1L,25.0
2024-01-07,ELEC-002,USB-C Hub 7-Port,7.0
2024-01-07,GRDN-002,Plant Pots Set,11.0
2024-01-07,OFFC-001,A4 Paper Ream,15.0
2024-01-07,SPRT-001,Yoga Mat,14.0
2024-01-07,HOMK-003,Cutting Board,11.0
2024-01-07,JWLY-002,Gold Earrings,9.0
2024-01-07,MOVI-001,Action DVD Pack,12.0
2024-01-07,JWLY-001,Silver Necklace,21.0
2024-01-07,MUSC-003,Digital Piano,13.0
2024-01-07,HLTH-002,Digital Thermometer,10.0
2024-01-07,FURN-003,Bedside Table,17.0
2024-01-07,HOMK-001,Non-stick Pan 28cm,12.0
2024-01-07,PCAR-001,Electric Toothbrush,11.0
2024-01-07,GRDN-001,Garden Hose 20m,19.0
2024-01-07,OUTD-002,Sleeping Bag,20.0
2024-01-07,PETS-002,Cat Litter 5kg,5.0
2024-01-07,MOVI-003,Popcorn Maker,12.0
2024-01-07,AUTO-002,Tyre Inflator,14.0
2024-01-07,CLTH-003,Formal Trousers,11.0
2024-01-07,APPL-002,Microwave Oven 20L,12.0
2024-01-07,HOMK-002,Knife Set 5pc,12.0
2024-01-07,BEAU-002,Lipstick Set,13.0
2024-01-07,GROC-001,Ground Coffee 500g,2.0
2024-01-07,OFFC-003,Desk Organiser,27.0
2024-01-07,PCAR-002,Razor 5-Blade,16.0
2024-01-07,TOOL-002,Hammer 500g,19.0
2024-01-07,SOFT-002,Office Suite,29.0
2024-01-07,BABY-003,Baby Wipes 80ct,17.0
2024-01-07,TOYS-002,Remote Control Car,4.0
2024-01-07,ELEC-003,Wireless Charger,8.0
2024-01-07,SPRT-003,Resistance Bands,10.0
2024-01-07,HLTH-003,First Aid Kit,15.0
2024-01-07,JWLY-003,Pearl Bracelet,7.0
2024-01-07,TOOL-001,Screwdriver Set,6.0
2024-01-07,AUTO-003,Car Seat Organiser,17.0
2024-01-07,MOVI-002,Streaming Voucher,21.0
2024-01-07,BABY-002,Nappy Pack 40,7.0
2024-01-07,SOFT-001,Antivirus 1-Year,14.0
2024-01-07,BOOK-002,Academic Textbook,19.0
2024-01-07,AUTO-001,Dash Cam HD,7.0
2024-01-07,BABY-001,Baby Monitor,8.0
2024-01-07,OUTD-003,Hiking Socks 3-Pack,5.0
2024-01-07,TOYS-001,Building Blocks Set,3.0
2024-01-07,PETS-001,Dry Dog Food 2kg,8.0
2024-01-07,APPL-003,Hand Blender,9.0
2024-01-07,BEAU-001,Face Moisturiser,13.0
2024-01-07,BEAU-003,Hair Serum 100ml,10.0
2024-01-07,SPRT-002,Dumbbell Pair 5kg,20.0
2024-01-07,DIY0-002,Sandpaper Pack,1.0
2024-01-08,JWLY-003,Pearl Bracelet,13.0
2024-01-08,PCAR-003,Shampoo 400ml,12.0
2024-01-08,TOOL-003,Adjustable Wrench,6.0
2024-01-08,TOOL-002,Hammer 500g,7.0
2024-01-08,TOYS-001,Building Blocks Set,11.0
2024-01-08,MOVI-001,Action DVD Pack,22.0
